order,featured,title,slug,category,cardSize,client,year,scope,credits,awards,awardTag,embedUrl,thumbnail,previewVideo,gallery
15,TRUE,Thai Chiêu Tài,thai-chieu-tai,film,small,Tran Nhan Kien,2025,"VFX, Compositing, FX",Production House - 1990 Studio | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/iUTKQwwuUys?si,,,
16,TRUE,Vietjet - Nàng dâu quốc dân,vietjet,commercial,small,Vietjet Air,2025,"TVC, CGI, Compositing",Client - Vietjet Air | Agency - Cheil Vietnam | Production House - One Cut | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/1qiSxA96TZU,,,
17,TRUE,KNORR PROFESSIONAL,knorr-professional,commercial,large,Knorr Professional,2025,"TVC, Product CGI, Compositing",Client - Unilever | Agency - Cheil Vietnam | Production House - One Cut | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/TDMN5-1x6L0,,,
18,TRUE,The Noble,the-noble,commercial,small,The Noble,2025,"TVC, Architectural Visualization",Client - Sunshine Group | Production House - Ưm Production | Studio - Zodiac II Media,Awards not publicly listed.,,https://player.vimeo.com/video/1060746804,,,
19,TRUE,The Centric,the-centric,commercial,small,The Centric,2025,"TVC, Compositing",Client - Masterise Homes | Production House: Antiantiart | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/K5XxZT6Pk9g,,,
20,TRUE,SHB SAHA,shb-saha-tvc,commercial,small,SHB SAHA,2025,"TVC, Motion Graphics, CGI",Client - SHB SAHA | Production House - Ưm Production | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/XERTDk80pTk,,,
21,TRUE,SHB SAHA OOH,shb-saha-ooh,billboard,large,SHB SAHA,2025,"TVC, Motion Graphics, CGI",Client - SHB SAHA | Production House - Ưm Production | Studio - Zodiac II Media,Awards not publicly listed.,,,,,
22,TRUE,Viettel Money,viettel-money,commercial,small,Viettel Money,2024,"TVC, CGI, Compositing",Client - Viettel Money |  Studio - Zodiac II Media,Awards not publicly listed.,,https://player.vimeo.com/video/929258680,,,
23,TRUE,TikTok Award,tiktok-award,commercial,small,TikTok,2024,"TVC, Motion Graphics, Compositing",Client - TikTok | Production House -  One Cut | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/y9OcqMY3nBk,,,
24,TRUE,Xui Hay Vui,xui-hay-vui-kotex,music-video,small,Kotex,2024,"TVC, Beauty Compositing",Client - Kotex | Agency - The May | Production House - Hillus Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/aElFY3ZrP3s,,,
25,TRUE,Vinhome Masteri,vinhome-masteri,commercial,large,Vinhome Masteri,2024,"TVC, CGI, Compositing",Client - Vinhome Masteri | Studio - Zodiac II Media,Awards not publicly listed.,,,,,
26,TRUE,Jessica Jewelry,jessica-jewelry,commercial,small,Jessica Jewelry,2024,"TVC, CGI, Look Development",Client - Jessica Jewelry | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/gzzLwXBabns,,,
27,TRUE,Sun Tropical Village Phu Quoc,sun-tropical-village-phu-quoc,commercial,small,Sun Tropical Village,2024,"TVC, Compositing, FX",Client - Sun Tropical Village | Studio - Zodiac II Media,Awards not publicly listed.,,,,,
28,TRUE,LienViet PostBank,lienviet-postbank,commercial,small,LienViet PostBank,2024,"TVC, CGI, Compositing",Client - LienViet PostBank | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/6qmdLuLGl2Y,,,
29,TRUE,Daphaco,daphaco,commercial,large,Daphaco,2024,"TVC, VFX, Compositing",Client - Daphaco | Studio - Zodiac II Media,Awards not publicly listed.,,,,,
30,TRUE,TopZone,topzone,commercial,small,TopZone,2024,"TVC, Cleanup, Compositing",Client - TopZone | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/ApivbTaBK_k,,,
31,TRUE,Không Ra Gì,khong-ra-gi-truc-nhan,music-video,small,Trúc Nhân,2024,"VFX, Compositing",Client - KIM Entertainment | Production House - Ganga Production | Artist - Truc Nhan | Studio - Zodiac II Media,#1 Trending YouTube,#1 Trending,https://www.youtube.com/embed/rRUzJJ9IV4s,,,
32,TRUE,THE REAL AURA,exsh,music-video,small,EXSH,2024,"CGI, FX, Compositing",Production House - Antiantiart | Artists - EXSH | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/ya31HMyeHX0?si,,,
33,TRUE,ALL EYES ON US,the-stars-atsh,music-video,large,ATSH,2024,"VFX, Compositing",Production House - Antiantiart | Artists - ATSH | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/lqp2_F53XPM,,,
34,TRUE,Thức Giấc,thuc-giac-dalab,music-video,small,DaLab,2024,"VFX, Environment, Compositing",Artist - DaLab | Studio - Zodiac II Media,#1 Trending YouTube,#1 Trending,https://www.youtube.com/embed/R3trO4a49go,,,
35,TRUE,Skyline,skyline-dalab,music-video,small,DaLab,2024,"CGI, Space Environment, Compositing",Artist - DaLab | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/JKS12fgCsv0,,,
36,TRUE,Giờ Thì Ai Cười,gio-thi-ai-cuoi-hieuthuhai,music-video,small,HIEUTHUHAI,2024,"VFX, Compositing",Artist - HIEUTHUHAI | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/bfKKVGYMKgs,,,
37,TRUE,Em Hát Ai Nghe,em-hat-ai-nghe-orange,music-video,large,Orange,2024,"VFX, Beauty Compositing",Artist - Orange | Studio - Zodiac II Media,#1 Trending YouTube,#1 Trending,https://www.youtube.com/embed/wssbBe_t-r4,,,
38,TRUE,Thiêu Thân,thieu-than-b-ray,music-video,small,B Ray,2024,"FX, Compositing",Production House - 13G Production | Artists - B Ray x Sofia x Chau Dang Khoa | Studio - Zodiac II Media,#3 Trending YouTube,#3 Trending,https://www.youtube.com/embed/cfbNtHNCMBo,,,
39,TRUE,Beautiful Monster,beautiful-monster-soobin-binz,music-video,small,SOOBIN x Binz,2024,"CGI, Compositing",Artists - SOOBIN x Binz | Studio - Zodiac II Media,#9 Trending YouTube,#9 Trending,https://www.youtube.com/embed/aEHSS6Q94S4,,,
40,TRUE,SUZIE,suzie-x-nhat-nguyen,music-video,small,SUZIE x Nhat Nguyen,2024,"CGI, Motion Graphics, Compositing",Artists - SUZIE x Nhat Nguyen | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/mn62fbWu5yE,,,
41,TRUE,Mời người kế tiếp,moi-nguoi-ke-tiep-karik,music-video,large,Karik,2024,"VFX, Compositing",Production House - HILLUS | Artist - Karik | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/y1JEtJqQXS4,,,
42,TRUE,Huyền Vi,huyen-vi-masew,music-video,small,Masew,2024,"VFX, Environment, Compositing",Production House - HILLUS | Artist - Masew | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/addfbs0kQDE,,,
13,TRUE,Hoa Xuân Ca 2026,hoa-xuan-ca2026,tvshow,small,VTV,2025,"Cleanup, Beauty, Compositing",Client - VTV | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/FJsbj1zvN0o?si=TF1JGzQNnmpPSpsr,,,
43,TRUE,Văn Lang 30 Năm,van-lang-30,commercial,small,Van Lang Univercity,2025,"VFX, Environment, Compositing",Client - Van Lang University | Production House - Flex Films | Studio - Zodiac II Media,Awards not publicly listed.,,,,,
44,TRUE,Vạn Sự Như Ý,van-su-nhu-y,music-video,large,Kim Entertainment,2025,"VFX, Environment, Compositing",Client - KIM Entertainment | Artist - Truc Nhan | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/hjYOanJelUs?si,,,
45,TRUE,Một Niềm Tự Hào,mot-niem-tu-hao,commercial,large,Ha Linh ,2025,"VFX, Environment, Compositing",Client - ZAAHEE Production | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.tiktok.com/@halinhofficial/video/7544361272075193607,,,
46,TRUE,Dân Chơi Sao Phải Khóc,dan-choi-sao-phai-khoc,music-video,small,AndreRightHand,2023,"VFX, Environment, Compositing",Production House - Snake Fang | Artist - AndreRightHand | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/zDNOhR-Ms-I?si,,,
47,TRUE,Anh Là NGoại Lệ Của Em,anh-la-ngoai-le-cua-em,music-video,small,Phuong Ly ,2023,"VFX, Environment, Compositing",Producer - Ngo Mai Phuong | Artist: Phuong Ly | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/q2YUtZum9wc?si=-LHwTOrQ3ORGuMff,,,
48,TRUE,LoveLy,lovely,music-video,small,LYLY,2023,"VFX, Environment, Compositing",Producer - Ngo Mai Phuong | Artist: Ly Ly | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/QM7XI5hgZR8?si=Fe3QXhkzNZr2eSEd,,,
49,TRUE,Bartender,bartender,music-video,large,Duong Trieu Vu,2023,"VFX, Environment, Compositing",Artist - Duong Trieu Vu | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/eH-oxvUxZQU?si=L39do4T9OWA37IlF,,,
50,TRUE,KIXX 2024,kixx-2024,commercial,small,KIXX,2025,"CGI Production, Motion Design",Client - KIXX | Agency - Cheil Vietnam | Production House - Snake Fang | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/Umu6tmb9I0Q,,,
51,TRUE,Where Your Own Venture Awaits,where-your-own-venture-awaits,commercial,small,British University Vietnam,2025,"CGI Production, Motion Design",Client - BUV | Production - Thanh Trịnh | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/RTTMxozVxOY?si=NqKDee4p-yNX4sH_,,,
52,TRUE,Em và Trịnh,em-va-trinh,film,small,Phan Gia Nhật Linh,2025,"VFX, Environment, Compositing",,,,https://www.youtube.com/embed/IosqnBOkk2I?si,,,
53,TRUE,Mask Girl,mask-girl,film,large,Netflix,2025,"VFX, Environment, Compositing",Client - Netflix | Studio - Zodiac II Media,,,https://www.youtube.com/embed/Gebl7um3jUg?si=8LjjA_sV88sTzXhV,,,
